Node,Check,Kanton,PLZ,Ort,Gebiet,Vermehrungstyp,Herkunft,Pflanzjahr,Lat-WGS84,Lon-WGS84,CHY-LV95,CHX-LV95,BHU,BHD,Datum,Hauptinfo,SEBA,Erhaltungs-Plantage_Biel_Nr,DNA_Probe,Fruechte,Verluste_Erklaerung,Reiser,Bemerkung
9349575503,ja,BL,4450,Sissach,Limperg-EbeneOst,graft,6476631891,2021,47.4761894,7.7885794,2626380,1258438,3,1,Dez 2021,"Dick Martin, Spahr Ernst ",,,,,,,"Reis von Lausen Grammel westl. Steinbruch Nord1 - Hoehe: 60cm Dez. 2021 / Höhe 90cm Nov. 2022
105cm Okt. 2023, 140cmJun. 2024"
9349584511,ja,BL,4450,Sissach,Limperg-EbeneSued,graft,6035113949,2021,47.4761222,7.7884563,2626371,1258431,3,1,Dez 2021,"Dick Martin, Spahr Ernst ",,,,,,,"Reis von Bubendorf Landschachen unten - Hoehe: 43cm Dez. 2021 / 150cm Nov. 2022
150cm Okt. 2023 / 150cm Jun. 2024"
,ja,BL,4450,Sissach,LimpergNordost,natural,,,47.47638,7.79044,2626520,1258460, , ,November 2018,"Rieder Paul Dendrologie 1984 (1983: BHU: 123cm / Ø 39cm)  Inv. Nr. 13, 
(? Plattner 1955 Ø 37cm  BHU: 116cm )",,,,,"Baum nicht mehr vorhanden Dick, November 2018",,
,ja,BL,4450,Sissach,LimpergNordwest,natural,,,47.47685,7.78567,2626160,1258510, , ,Juli 2022,"Rieder Paul Dendrologie 1984 (1984: BHU: 131cm / Ø 42cm / 1982: BHU 130cm,
1979: BHU 129cm,  1969: BHU 117cm )  Inv. Nr. 6, (? Plattner 1955 Ø 31cm  BHU: 97cm )",,,,,"Baum nicht mehr vorhanden Dick, November 2018",,
6001338660,ja,BL,4450,Sissach,LimpergOst,natural,,,47.4742625,7.788478,2626373,1258223,100,32,"Oktober 2018
","Rieder Paul Dendrologie 1984, Inv. Nr. 5 Infoflora 1437286 Rotach Peter  3344540 Polt Heidi SEBA-Karte#8",Nr. 8,BL 5,,keine Früchte: 2023,,"Reiser gesammelt, angewachsen",
9874113669,ja,BL,4450,Sissach,LimpergWegbogenA,planted,,,47.4777239,7.7873054,2626283,1258609,3,1,Juni 2022,Infoflora 7036231 Luethi Roland   SEBA-Karte#871,Nr. 871,,,,,,"BHU: 3cm Jun. 2024,  Hoehe: 2.1m Jun. 2024"
9874200827,ja,BL,4450,Sissach,LimpergWegbogenB,planted,,,47.4777632,7.7871825,2626274,1258613,15,5,Juni 2022,Infoflora 7036231 Luethi Roland   SEBA-Karte#871,Nr. 871,,,,,,"BHU: 15cm Jul. 2022, 18cm Jun. 2024"
9791012277,ja,BL,4450,Sissach,LimpergWegbogenC,planted,,,47.4777057,7.7871592,2626272,1258607,14,4,Juni 2022,Infoflora 7036231 Luethi Roland   SEBA-Karte#871,Nr. 871,,,,,,"BHU: 14cm Jul. 2022, 15cm Jun. 2024"
9791022268,ja,BL,4450,Sissach,LimpergWegbogenD,planted,,,47.4777404,7.7870159,2626262,1258611,10,3,Juni 2022,Infoflora 7036231 Luethi Roland   SEBA-Karte#871,Nr. 871,,,,,,"BHU: 10cm Jul. 2022, 10cm Jun. 2024"
9791011422,ja,BL,4450,Sissach,LimpergWegbogenE,planted,,,47.4778,7.78699,2626260,1258617,22,7,Juni 2022,Infoflora 7036231 Luethi Roland   SEBA-Karte#871,Nr. 871,,,,,,"BHU: 22cm Jul. 2022, 26cm Jun. 2024"
9979372455,ja,BL,4450,Sissach,LimpergWegbogenF,planted,,,47.4776747,7.7871232,2626270,1258603,3,1,Juni 2022,Infoflora 7036231 Luethi Roland   SEBA-Karte#871,Nr. 871,,,,,,"BHU: 3cm Jul 2022, 5cm Jun. 2024, Hoehe: 2.2m Jun. 2024"
9979384481,ja,BL,4450,Sissach,LimpergWegbogenG,natural,,,47.4777235,7.7869193,2626254,1258609,3,1,Juni 2022,Dick Martin   SEBA-Karte#871,Nr. 871,,,,"möglicherweise natürliche Herkuft, Höhe war ca 1m, Fegeschaden auf ca. 
20cm-60cm Höhe, eingekürzt und mit Drahthose geschützt, neue Höhe 30cm",,"BHU: 3cm Jul 2024,  3cm Jun 2022, Hoehe: 30cm Jun. 2024  (BHU-Angaben immer > 3cm)"
10200570935,ja,BL,4450,Sissach,LimpergWegbogenOst1,planted,,,47.47771,7.78772,2626315,1258607,11,4,November 2022,Dick Martin,,,,,,,"BHU: 11cm Jun. 2024, 11cm Nov 2022"
10940227525,ja,BL,4450,Sissach,LimpergWegbogenOst2,planted,,,47.4777186,7.7876744,2626311,1258608,11,4,Mai 2023,Dick Martin,,,,,,,"BHU: 15cm Jun. 2024, 10cm May 2023"
6020363437,ja,BL,4450,Sissach,LimpergWest,natural,,,47.4743806,7.787523,2626301,1258236,145,46,"Oktober 2018
","Rieder Paul Dendrologie 1984,  Inv. Nr. 4  Infoflora 1437285 Rotach Peter 3344539 Polt Heidi  SEBA-Karte#7",Nr. 7,BL 4,DNA,keine Früchte: 2023,,,Krone teils kahl
8089347202,ja,BL,4450,Sissach,Limperg-WesthangNord,planted,,,47.4811029,7.7894595,2626444,1258985,6,2,November 2020,Luethi Roland   Dick Martin ,,,,,,,
9874351724,ja,BL,4450,Sissach,Limperg-WesthangSued,planted,,,47.4800592,7.788597,2626380,1258869,1,0.3,Juli 2022,Infoflora 10023811 Luethi Roland   Dick Martin ,,,,,,,
12022716979,ja,BL,4450,Sissach,Lindenweg,planted,,,47.4685707,7.8121868,2628164,1257600,51,16,Juni 2024,Schmutz Daniel  AGNHS,,,,,,,
6598972267,ja,BL,4450,Sissach,Muehlegasse,seed,,1968,47.4645706,7.8123848,2628180,1257154,130,41,Juli 2019,"Rieder Paul Dendrologie 1984,  Inv. Nr. 17  Infoflora 5724054+5724055 Naturmuseum Luzern ",,,,Fruechte 2020,,,"Same von Sissach Limperg, Baum-Zuordnung nicht gesichert: - BHU: 38cm 1984 "
7040864440,ja,BL,4450,Sissach,RebbergOben,planted,,,47.4728794,7.8009767,2627317,1258075,29,9,Dezember 2019,Schmutz Daniel  AGNHS,,,,Fruechte 2020,,,
7040849289,ja,BL,4450,Sissach,RebbergUnten,planted,,,47.4727692,7.8008744,2627309,1258063,25,8,Dezember 2019,Schmutz Daniel  AGNHS,,,,Fruechte 2020,,,
6170636811,ja,BL,4450,Sissach,Strickrain,planted,,,47.479065,7.8007865,2627299,1258763,30,10,Dezember 2018,Infoflora 3344538+3351430  Polt Heidi ,,,,,,,
8688435132,ja,BL,4450,Sissach,Weiherweg,planted,,,47.4681712,7.8124687,2628185,1257555,58,18,Mai 2021,Wernli Thomas ,,,,,,,
9214722447,ja,BL,4456,Tenniken,Naturlehrpfad,planted,,,47.4366813,7.8191142,2628703,1254056,5,2,Oktober 2021,Buser Brigitt ,,,,,,,
11362294123,ja,BL,4106,Therwil,Eigenhof,planted,,,47.4886924,7.5563194,2608870,1259777,71,23,November 2023,"Steiner Roland, Dick Martin",,,,Fruechte 2023,,,
9792719161,ja,BL,4106,Therwil,Oberer_EggwegA,planted,,,47.4978814,7.5356792,2607313,1260796,91,29,Juni 2022,Merkelbach Lukas,,,,,,,
9807360117,ja,BL,4106,Therwil,Oberer_EggwegB,planted,,,47.4981371,7.5356866,2607314,1260825,38,12,Oktober 2023,Knuesel Konrad,,,,,,,
11264809787,ja,BL,4106,Therwil,Oberer_EggwegC,planted,,,47.4981571,7.5356679,2607312,1260827,19,6,Oktober 2023,Steiner Roland,,,,,,,
9792731394,ja,BL,4106,Therwil,ObererEggweg_Wegrand,planted,,,47.4976416,7.5358103,2607323,1260769,56,18,Juni 2022,Merkelbach Lukas,,,,,,,
9890570461,ja,BL,4106,Therwil,Schaerweg,planted,,,47.489449,7.5572802,2608943,1259861,85,27,Juli 2022,Merkelbach Lukas,,,,"Fruechte 2022, 2023",,,
9925559173,ja,BL,4106,Therwil,StutzraiSued1,planted,,,47.4886207,7.5518768,2608535,1259769,43,14,August 2022,Dick Martin,,,,,,,
9925576254,ja,BL,4106,Therwil,StutzraiSued2,planted,,,47.4893366,7.5521195,2608554,1259848,68,22,August 2022,Dick Martin,,,,,,,
9925584073,ja,BL,4106,Therwil,StutzraiSued3,planted,,,47.4900271,7.5523388,2608570,1259925,40,13,August 2022,Dick Martin,,,,,,,
9925623704,ja,BL,4106,Therwil,StutzraiSued4,planted,,,47.4917488,7.5532636,2608639,1260116,67,21,August 2022,Dick Martin,,,,Fruechte 2022 viel,,,
9792649665,ja,BL,4106,Therwil,Teichstrasse23,planted,,,47.5009663,7.5495702,2608359,1261140,60,19,Juni 2022,Merkelbach Lukas,,,,,,,
